solver,n_requested,n_used,seed,status,run_dir,combined_solver,combined_runtime_sec,speed_mps,y_max_meters,future_only,delta,C,k,stopping_condition,fill_policy,device,origin_lon,origin_lat,runtime_sec,phases,total_inner_loops,matching_cost_m,matching_cost_km,avg_cost_m,avg_cost_km,feasible_matches,free_B,removed_by_future,removed_by_speed,removed_by_ymax,top_k,top_k_source,build_time_sec,solve_time_sec,num_feasible_edges,opt_cost_m,opt_cost_km,opt_avg_cost_m,opt_avg_cost_km,input,n,date,random_sample
spef_unscaled,1000,1000,1,success,results/2014-10-14/combined_n1000_seed1,combined,9.96185621409677,8.0,10000.0,True,0.001,100000.0,512,50,none,cuda,-73.97980499267578,40.755916595458984,8.93747864710167,1,5084,833931.4803039541,833.9314803039541,893.8172350524695,0.8938172350524696,933.0,67.0,5.0,0.0,15.0,,,,,,,,,,,,,
spef_scaled,1000,1000,1,success,results/2014-10-14/combined_n1000_seed1,combined,9.96185621409677,8.0,10000.0,True,0.001,100000.0,512,50,none,cuda,-73.97980499267578,40.755916595458984,0.7960477171000093,5,518,901438.2728391455,901.4382728391455,965.1373370868796,0.9651373370868795,934.0,66.0,5.0,0.0,13.0,,,,,,,,,,,,,
pot_partial,1000,1000,1,success,results/2014-10-14/combined_n1000_seed1,combined,9.96185621409677,8.0,10000.0,True,0.001,100000.0,512,50,none,cuda,-73.97980499267578,40.755916595458984,0.22832984989508986,,,,,,,,,,,,934,spef_scaled,0.055363381979987025,0.17296646791510284,443411,616741.1843861468,616.7411843861469,660.3224672228553,0.6603224672228554,,,,
spef_unscaled,1000,1000,2,success,results/2014-10-14/combined_n1000_seed2,combined,6.3902377400081605,8.0,10000.0,True,0.001,100000.0,512,50,none,cuda,-73.98036193847656,40.75490951538086,5.600896593183279,1,2932,742938.5975832087,742.9385975832087,803.1768622521175,0.8031768622521175,925.0,75.0,11.0,0.0,18.0,,,,,,,,,,,,,
spef_scaled,1000,1000,2,success,results/2014-10-14/combined_n1000_seed2,combined,6.3902377400081605,8.0,10000.0,True,0.001,100000.0,512,50,none,cuda,-73.98036193847656,40.75490951538086,0.5763608920387924,5,380,815855.8599531061,815.8558599531061,880.1034087951523,0.8801034087951523,927.0,73.0,11.0,0.0,16.0,,,,,,,,,,,,,
pot_partial,1000,1000,2,success,results/2014-10-14/combined_n1000_seed2,combined,6.3902377400081605,8.0,10000.0,True,0.001,100000.0,512,50,none,cuda,-73.98036193847656,40.75490951538086,0.21298025478608906,,,,,,,,,,,,927,spef_scaled,0.05297505878843367,0.1600051959976554,435533,568386.2541813913,568.3862541813913,613.1459052657943,0.6131459052657944,,,,
spef_unscaled,1000,1000,3,success,results/2014-10-14/combined_n1000_seed3,combined,9.16920459875837,8.0,10000.0,True,0.001,100000.0,512,50,none,cuda,-73.97982788085938,40.75423812866211,8.168458238011226,1,4634,767434.4939639173,767.4344939639172,820.7855550416227,0.8207855550416228,935.0,65.0,7.0,0.0,14.0,,,,,,,,,,,,,
spef_scaled,1000,1000,3,success,results/2014-10-14/combined_n1000_seed3,combined,9.16920459875837,8.0,10000.0,True,0.001,100000.0,512,50,none,cuda,-73.97982788085938,40.75423812866211,0.7897526868619025,5,519,832674.4171427777,832.6744171427777,894.3871290470222,0.8943871290470222,931.0,69.0,7.0,0.0,14.0,,,,,,,,,,,,,
pot_partial,1000,1000,3,success,results/2014-10-14/combined_n1000_seed3,combined,9.16920459875837,8.0,10000.0,True,0.001,100000.0,512,50,none,cuda,-73.97982788085938,40.75423812866211,0.21099367388524115,,,,,,,,,,,,931,spef_scaled,0.052638409892097116,0.15835526399314404,439315,555155.881423942,555.155881423942,596.3006245155124,0.5963006245155124,,,,
spef_unscaled,2000,2000,1,success,results/2014-10-14/combined_n2000_seed1,combined,8.363973792875186,8.0,10000.0,True,0.001,100000.0,512,100,none,cuda,-73.98035430908203,40.755157470703125,6.5390051510185,1,3342,1282464.3375041098,1282.4643375041098,688.7563574135928,0.6887563574135929,1862.0,138.0,11.0,0.0,28.0,,,,,,,,,,,,,
spef_scaled,2000,2000,1,success,results/2014-10-14/combined_n2000_seed1,combined,8.363973792875186,8.0,10000.0,True,0.001,100000.0,512,100,none,cuda,-73.98035430908203,40.755157470703125,0.8024964870419353,5,501,1427273.7185870078,1427.2737185870078,766.5272387685327,0.7665272387685327,1862.0,138.0,11.0,0.0,31.0,,,,,,,,,,,,,
pot_partial,2000,2000,1,success,results/2014-10-14/combined_n2000_seed1,combined,8.363973792875186,8.0,10000.0,True,0.001,100000.0,512,100,none,cuda,-73.98035430908203,40.755157470703125,1.02247215481475,,,,,,,,,,,,1862,spef_scaled,0.1986218539532274,0.8238503008615226,1754841,919932.6833608254,919.9326833608254,494.0562209241812,0.4940562209241812,,,,
spef_unscaled,2000,2000,2,success,results/2014-10-14/combined_n2000_seed2,combined,6.245306606870145,8.0,10000.0,True,0.001,100000.0,512,100,none,cuda,-73.98017120361328,40.754329681396484,4.617165322881192,1,2149,1164821.7097106953,1164.8217097106954,628.6139825745793,0.6286139825745792,1853.0,147.0,19.0,0.0,35.0,,,,,,,,,,,,,
spef_scaled,2000,2000,2,success,results/2014-10-14/combined_n2000_seed2,combined,6.245306606870145,8.0,10000.0,True,0.001,100000.0,512,100,none,cuda,-73.98017120361328,40.754329681396484,0.6226219050586224,5,391,1294481.8524973504,1294.4818524973505,699.7199202688381,0.6997199202688381,1850.0,150.0,19.0,0.0,36.0,,,,,,,,,,,,,
