solver,n_requested,n_used,seed,status,run_dir,combined_solver,combined_runtime_sec,speed_mps,y_max_meters,future_only,delta,C,k,stopping_condition,fill_policy,device,origin_lon,origin_lat,runtime_sec,phases,total_inner_loops,matching_cost_m,matching_cost_km,avg_cost_m,avg_cost_km,feasible_matches,free_B,removed_by_future,removed_by_speed,removed_by_ymax,top_k,top_k_source,build_time_sec,solve_time_sec,num_feasible_edges,opt_cost_m,opt_cost_km,opt_avg_cost_m,opt_avg_cost_km
spef_unscaled,1000,1000,1,success,results/2014-10-14/combined_n1000_seed1,combined,85.67605399503373,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97980499267578,40.755916595458984,80.183142388938,1,51134,851402.5202971668,851.4025202971668,911.5658675558531,0.9115658675558531,934.0,66.0,5.0,0.0,16.0,,,,,,,,,
spef_scaled,1000,1000,1,success,results/2014-10-14/combined_n1000_seed1,combined,85.67605399503373,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97980499267578,40.755916595458984,5.2649632131215185,5,3428,845772.1708711425,845.7721708711425,906.5082217268408,0.9065082217268409,933.0,67.0,5.0,0.0,16.0,,,,,,,,,
pot_partial,1000,1000,1,success,results/2014-10-14/combined_n1000_seed1,combined,85.67605399503373,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97980499267578,40.755916595458984,0.22794839297421277,,,,,,,,,,,,933,spef_scaled,0.05530799902044237,0.1726403939537704,443411,609147.6744366373,609.1476744366373,652.8913981100078,0.6528913981100078
spef_unscaled,1000,1000,2,success,results/2014-10-14/combined_n1000_seed2,combined,49.935017122887075,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.98036193847656,40.75490951538086,46.57744460902177,1,30174,753720.8809266308,753.7208809266308,813.9534351259512,0.8139534351259512,926.0,74.0,11.0,0.0,15.0,,,,,,,,,
spef_scaled,1000,1000,2,success,results/2014-10-14/combined_n1000_seed2,combined,49.935017122887075,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.98036193847656,40.75490951538086,3.1445465439464897,5,2096,778777.792408034,778.777792408034,840.1054934282998,0.8401054934282999,927.0,73.0,11.0,0.0,14.0,,,,,,,,,
pot_partial,1000,1000,2,success,results/2014-10-14/combined_n1000_seed2,combined,49.935017122887075,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.98036193847656,40.75490951538086,0.21302596991881728,,,,,,,,,,,,927,spef_scaled,0.053111837012693286,0.159914132906124,435533,568386.2541813913,568.3862541813913,613.1459052657943,0.6131459052657944
spef_unscaled,1000,1000,3,success,results/2014-10-14/combined_n1000_seed3,combined,75.05167877860367,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97982788085938,40.75423812866211,69.68834260385484,1,45602,759787.6722805346,759.7876722805346,812.607136128914,0.812607136128914,935.0,65.0,7.0,0.0,12.0,,,,,,,,,
spef_scaled,1000,1000,3,success,results/2014-10-14/combined_n1000_seed3,combined,75.05167877860367,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97982788085938,40.75423812866211,5.145980478962883,5,3440,776613.2072106709,776.6132072106709,832.3828587466999,0.8323828587466998,933.0,67.0,7.0,0.0,13.0,,,,,,,,,
pot_partial,1000,1000,3,success,results/2014-10-14/combined_n1000_seed3,combined,75.05167877860367,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97982788085938,40.75423812866211,0.2173556957859546,,,,,,,,,,,,933,spef_scaled,0.053529413882642984,0.1638262819033116,439315,570119.3653849642,570.1193653849641,611.060413059983,0.6110604130599829
spef_unscaled,2000,2000,1,success,results/2014-10-14/combined_n2000_seed1,combined,56.8319181476254,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98035430908203,40.755157470703125,51.95116413081996,1,31939,1258932.7060342212,1258.9327060342212,676.1185317047375,0.6761185317047375,1862.0,138.0,11.0,0.0,32.0,,,,,,,,,
spef_scaled,2000,2000,1,success,results/2014-10-14/combined_n2000_seed1,combined,56.8319181476254,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98035430908203,40.755157470703125,3.868034995859489,5,2460,1279076.0990918037,1279.0760990918036,687.6753220923675,0.6876753220923675,1860.0,140.0,11.0,0.0,32.0,,,,,,,,,
pot_partial,2000,2000,1,success,results/2014-10-14/combined_n2000_seed1,combined,56.8319181476254,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98035430908203,40.755157470703125,1.0127190209459513,,,,,,,,,,,,1860,spef_scaled,0.19920293404720724,0.8135160868987441,1754841,907292.4990635993,907.2924990635993,487.79166616322544,0.48779166616322545
spef_unscaled,2000,2000,2,success,results/2014-10-14/combined_n2000_seed2,combined,39.68353382521309,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98017120361328,40.754329681396484,35.87158291810192,1,21351,1155082.349341097,1155.0823493410971,622.6859026097558,0.6226859026097559,1855.0,145.0,19.0,0.0,30.0,,,,,,,,,
spef_scaled,2000,2000,2,success,results/2014-10-14/combined_n2000_seed2,combined,39.68353382521309,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98017120361328,40.754329681396484,2.7611776529811323,5,1725,1158288.564479365,1158.288564479365,625.4257907555966,0.6254257907555967,1852.0,148.0,19.0,0.0,33.0,,,,,,,,,
pot_partial,2000,2000,2,success,results/2014-10-14/combined_n2000_seed2,combined,39.68353382521309,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98017120361328,40.754329681396484,1.0507732541300356,,,,,,,,,,,,1852,spef_scaled,0.20081018097698689,0.8499630731530488,1735100,869333.2114757019,869.3332114757019,469.40238200631853,0.4694023820063185
spef_unscaled,2000,2000,3,success,results/2014-10-14/combined_n2000_seed3,combined,51.877895415062085,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98029327392578,40.75506591796875,47.457688766065985,1,28565,1216578.314025573,1216.578314025573,650.924726605443,0.650924726605443,1869.0,131.0,15.0,0.0,19.0,,,,,,,,,
spef_scaled,2000,2000,3,success,results/2014-10-14/combined_n2000_seed3,combined,51.877895415062085,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98029327392578,40.75506591796875,3.422877965029329,5,2140,1227834.9495490347,1227.8349495490347,658.3565413131554,0.6583565413131554,1865.0,135.0,15.0,0.0,25.0,,,,,,,,,
pot_partial,2000,2000,3,success,results/2014-10-14/combined_n2000_seed3,combined,51.877895415062085,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98029327392578,40.75506591796875,0.9973286839667708,,,,,,,,,,,,1865,spef_scaled,0.1999525809660554,0.7973761030007154,1761541,884853.9608051272,884.8539608051271,474.4525259008725,0.47445252590087245
spef_unscaled,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,67.73816921911202,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,55.210003518965095,1,24626,2343843.07826854,2343.84307826854,502.43152803184137,0.5024315280318413,4665.0,335.0,28.0,0.0,66.0,,,,,,,,,
spef_scaled,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,67.73816921911202,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,4.324828925076872,5,2451,2384612.311819032,2384.6123118190317,512.0490255140717,0.5120490255140716,4657.0,343.0,28.0,0.0,74.0,,,,,,,,,
pot_partial,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,67.73816921911202,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,8.203336775070056,,,,,,,,,,,,4657,spef_scaled,1.09048283402808,7.112853941041976,10996772,1698331.771956274,1698.331771956274,364.6836529861014,0.36468365298610134
spef_unscaled,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,56.63598140492104,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,45.05754998209886,1,19247,2335193.8397960314,2335.193839796031,502.62458884976996,0.5026245888497699,4646.0,354.0,34.0,0.0,81.0,,,,,,,,,
spef_scaled,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,56.63598140492104,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,3.5702809197828174,5,2040,2363641.474300063,2363.6414743000632,509.845011712697,0.509845011712697,4636.0,364.0,34.0,0.0,91.0,,,,,,,,,
pot_partial,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,56.63598140492104,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,8.00815050303936,,,,,,,,,,,,4636,spef_scaled,1.0919918629806489,6.916158640058711,10926296,1676707.963817497,1676.707963817497,361.67126053008997,0.36167126053008997
spef_unscaled,5000,5000,3,success,results/2014-10-14/combined_n5000_seed3,combined,74.0381660698913,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98016357421875,40.755252838134766,61.338389934040606,1,28708,2499984.774857397,2499.984774857397,534.1847809524353,0.5341847809524353,4680.0,320.0,33.0,0.0,48.0,,,,,,,,,
