solver,n_requested,n_used,seed,status,run_dir,combined_solver,combined_runtime_sec,speed_mps,y_max_meters,future_only,delta,C,k,stopping_condition,fill_policy,device,origin_lon,origin_lat,runtime_sec,phases,total_inner_loops,matching_cost_m,matching_cost_km,avg_cost_m,avg_cost_km,feasible_matches,free_B,removed_by_future,removed_by_speed,removed_by_ymax,build_time_sec,solve_time_sec,num_feasible_edges,opt_cost_m,opt_cost_km,opt_avg_cost_m,opt_avg_cost_km
spef_unscaled,1000,1000,1,success,results/2014-10-14/combined_n1000_seed1,combined,85.67410569894128,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97980499267578,40.755916595458984,80.13395082508214,1,51134,851402.5202971668,851.4025202971668,911.5658675558531,0.9115658675558531,934.0,66.0,55.0,0.0,25.0,,,,,,,
spef_scaled,1000,1000,1,success,results/2014-10-14/combined_n1000_seed1,combined,85.67410569894128,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97980499267578,40.755916595458984,5.307682073907927,5,3428,845772.1708711425,845.7721708711425,906.5082217268408,0.9065082217268409,933.0,67.0,55.0,0.0,28.0,,,,,,,
pot_emd,1000,1000,1,success,results/2014-10-14/combined_n1000_seed1,combined,85.67410569894128,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97980499267578,40.755916595458984,0.23247279995121062,,,,,,,,,,,,0.05630700197070837,0.17616579798050225,443411,1382339.9400939425,1382.3399400939425,1382.3399400939425,1.3823399400939425
spef_unscaled,1000,1000,2,success,results/2014-10-14/combined_n1000_seed2,combined,49.918559052748606,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.98036193847656,40.75490951538086,46.5446213898249,1,30174,753720.8809266308,753.7208809266308,813.9534351259512,0.8139534351259512,926.0,74.0,61.0,0.0,26.0,,,,,,,
spef_scaled,1000,1000,2,success,results/2014-10-14/combined_n1000_seed2,combined,49.918559052748606,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.98036193847656,40.75490951538086,3.1640037309844047,5,2096,778777.792408034,778.777792408034,840.1054934282998,0.8401054934282999,927.0,73.0,61.0,0.0,18.0,,,,,,,
pot_emd,1000,1000,2,success,results/2014-10-14/combined_n1000_seed2,combined,49.918559052748606,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.98036193847656,40.75490951538086,0.20993393193930387,,,,,,,,,,,,0.053852538811042905,0.15608139312826097,435533,1327606.0067420367,1327.6060067420367,1327.6060067420367,1.3276060067420368
spef_unscaled,1000,1000,3,success,results/2014-10-14/combined_n1000_seed3,combined,75.70379501534626,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97982788085938,40.75423812866211,70.32889462914318,1,45602,759787.6722805346,759.7876722805346,812.607136128914,0.812607136128914,935.0,65.0,57.0,0.0,26.0,,,,,,,
spef_scaled,1000,1000,3,success,results/2014-10-14/combined_n1000_seed3,combined,75.70379501534626,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97982788085938,40.75423812866211,5.1649821400642395,5,3440,776613.2072106709,776.6132072106709,832.3828587466999,0.8323828587466998,933.0,67.0,57.0,0.0,28.0,,,,,,,
pot_emd,1000,1000,3,success,results/2014-10-14/combined_n1000_seed3,combined,75.70379501534626,8.0,10000.0,True,0.0001,100000.0,512,50,none,cuda,-73.97982788085938,40.75423812866211,0.2099182461388409,,,,,,,,,,,,0.052987672155722976,0.15693057398311794,439315,1316423.0848518382,1316.4230848518382,1316.4230848518382,1.3164230848518381
spef_unscaled,2000,2000,1,success,results/2014-10-14/combined_n2000_seed1,combined,57.756540100323036,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98035430908203,40.755157470703125,52.69984838902019,1,31939,1258932.7060342212,1258.9327060342212,676.1185317047375,0.6761185317047375,1862.0,138.0,111.0,0.0,51.0,,,,,,,
spef_scaled,2000,2000,1,success,results/2014-10-14/combined_n2000_seed1,combined,57.756540100323036,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98035430908203,40.755157470703125,3.9682080971542746,5,2460,1279076.0990918037,1279.0760990918036,687.6753220923675,0.6876753220923675,1860.0,140.0,111.0,0.0,58.0,,,,,,,
pot_emd,2000,2000,1,success,results/2014-10-14/combined_n2000_seed1,combined,57.756540100323036,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98035430908203,40.755157470703125,1.088483614148572,,,,,,,,,,,,0.20025919214822352,0.8882244220003486,1754841,2539048.6497177244,2539.0486497177244,1269.5243248588622,1.2695243248588621
spef_unscaled,2000,2000,2,success,results/2014-10-14/combined_n2000_seed2,combined,39.21165561233647,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98017120361328,40.754329681396484,35.39838996017352,1,21351,1155082.349341097,1155.0823493410971,622.6859026097558,0.6226859026097559,1855.0,145.0,119.0,0.0,56.0,,,,,,,
spef_scaled,2000,2000,2,success,results/2014-10-14/combined_n2000_seed2,combined,39.21165561233647,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98017120361328,40.754329681396484,2.770611035171896,5,1725,1158288.564479365,1158.288564479365,625.4257907555966,0.6254257907555967,1852.0,148.0,119.0,0.0,59.0,,,,,,,
pot_emd,2000,2000,2,success,results/2014-10-14/combined_n2000_seed2,combined,39.21165561233647,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98017120361328,40.754329681396484,1.042654616991058,,,,,,,,,,,,0.20005808887071908,0.8425965281203389,1735100,2441037.2986472608,2441.0372986472607,1220.5186493236304,1.2205186493236304
spef_unscaled,2000,2000,3,success,results/2014-10-14/combined_n2000_seed3,combined,51.11860838835128,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98029327392578,40.75506591796875,46.68005957012065,1,28565,1216578.314025573,1216.578314025573,650.924726605443,0.650924726605443,1869.0,131.0,115.0,0.0,44.0,,,,,,,
spef_scaled,2000,2000,3,success,results/2014-10-14/combined_n2000_seed3,combined,51.11860838835128,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98029327392578,40.75506591796875,3.4104244271293283,5,2140,1227834.9495490347,1227.8349495490347,658.3565413131554,0.6583565413131554,1865.0,135.0,115.0,0.0,50.0,,,,,,,
pot_emd,2000,2000,3,success,results/2014-10-14/combined_n2000_seed3,combined,51.11860838835128,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98029327392578,40.75506591796875,1.0281243911013007,,,,,,,,,,,,0.19991231197491288,0.8282120791263878,1761541,2306159.4423224567,2306.159442322457,1153.0797211612285,1.1530797211612285
spef_unscaled,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,68.98664225218818,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,56.18221796909347,1,24626,2343843.07826854,2343.84307826854,502.43152803184137,0.5024315280318413,4665.0,335.0,278.0,0.0,124.0,,,,,,,
spef_scaled,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,68.98664225218818,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,4.496577632846311,5,2451,2384612.311819032,2384.6123118190317,512.0490255140717,0.5120490255140716,4657.0,343.0,277.0,0.0,139.0,,,,,,,
pot_emd,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,68.98664225218818,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,8.307846650248393,,,,,,,,,,,,1.0870459161233157,7.220800734125078,10996772,5403915.242403409,5403.915242403409,1080.7830484806818,1.0807830484806817
spef_unscaled,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,57.38613342726603,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,45.320683900034055,1,19247,2335193.8397960314,2335.193839796031,502.62458884976996,0.5026245888497699,4646.0,354.0,284.0,0.0,132.0,,,,,,,
spef_scaled,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,57.38613342726603,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,3.710514357080683,5,2040,2363641.474300063,2363.6414743000632,509.845011712697,0.509845011712697,4636.0,364.0,284.0,0.0,145.0,,,,,,,
pot_emd,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,57.38613342726603,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,8.354935170151293,,,,,,,,,,,,1.0914161640685052,7.263519006082788,10926296,5668245.906530024,5668.245906530024,1133.6491813060047,1.1336491813060048
spef_unscaled,5000,5000,3,success,results/2014-10-14/combined_n5000_seed3,combined,75.19206755398773,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98016357421875,40.755252838134766,61.77988840313628,1,28708,2499984.774857397,2499.984774857397,534.1847809524353,0.5341847809524353,4680.0,320.0,283.0,0.0,114.0,,,,,,,
